;nKEAOperatingState;nInterruptedStep;tDurationSprayCleaning;tDurationDripping;tDurationSuction;tDurationBlowing;fInterruptionCountdown;p_heat;p_int;p_clean;p_dry;durationDrying;temp_tank;tankTemperatureMin;tankTemperatureMax;c_pfluid;V_tank;rho_fluid;n_wp;m_wp;t_environment;durationCleaning;durationStart;n_start
23;9;2;600.0;10.0;10.0;10.0;0.0;10000.0;200.0;3430.0;9350.0;9.0;60.413330078125;55.0;65.0;4190.0;0.3199999928474426;1000.0;42;0.2619999945163727;20.15999984741211;63.0;0;1
24;9;2;600.0;10.0;10.0;10.0;0.0;10000.0;200.0;3430.0;9350.0;9.0;60.37333679199219;55.0;65.0;4190.0;0.3199999928474426;1000.0;42;0.2619999945163727;20.170000076293945;63.0;0;1
25;9;2;600.0;10.0;10.0;10.0;0.0;10000.0;200.0;3430.0;9350.0;9.0;60.37333679199219;55.0;65.0;4190.0;0.3199999928474426;1000.0;42;0.2619999945163727;20.170000076293945;63.0;0;1
26;9;2;600.0;10.0;10.0;10.0;0.0;10000.0;200.0;3430.0;9350.0;9.0;60.34333038330078;55.0;65.0;4190.0;0.3199999928474426;1000.0;42;0.2619999945163727;20.15999984741211;63.0;0;1
27;3;2;600.0;10.0;10.0;10.0;622.719970703125;10000.0;200.0;3430.0;9350.0;9.0;60.396663665771484;55.0;65.0;4190.0;0.3199999928474426;1000.0;42;0.2619999945163727;20.170000076293945;63.0;62;2
28;3;2;600.0;10.0;10.0;10.0;612.719970703125;10000.0;200.0;3430.0;9350.0;9.0;60.40666580200195;55.0;65.0;4190.0;0.3199999928474426;1000.0;42;0.2619999945163727;20.15999984741211;63.0;61;2
29;3;2;600.0;10.0;10.0;10.0;602.719970703125;10000.0;200.0;3430.0;9350.0;9.0;59.78999710083008;55.0;65.0;4190.0;0.3199999928474426;1000.0;42;0.2619999945163727;20.170000076293945;63.0;60;2
30;3;2;600.0;10.0;10.0;10.0;592.719970703125;10000.0;200.0;3430.0;9350.0;9.0;59.65333557128906;55.0;65.0;4190.0;0.3199999928474426;1000.0;42;0.2619999945163727;20.15999984741211;63.0;59;2
31;3;2;600.0;10.0;10.0;10.0;582.719970703125;10000.0;200.0;3430.0;9350.0;9.0;58.89666748046875;55.0;65.0;4190.0;0.3199999928474426;1000.0;42;0.2619999945163727;20.170000076293945;63.0;58;2
32;3;2;600.0;10.0;10.0;10.0;572.719970703125;10000.0;200.0;3430.0;9350.0;9.0;59.02333068847656;55.0;65.0;4190.0;0.3199999928474426;1000.0;42;0.2619999945163727;20.170000076293945;63.0;57;2
